iter	Passed	Remaining
284	100837	111452
285	101107	111006
286	101397	110583
287	101662	110134
288	101926	109685
289	102195	109243
290	102482	108821
291	102783	108414
292	103062	107986
293	103323	107541
294	103594	107106
295	103855	106662
296	104137	106241
297	104405	105807
298	104670	105370
299	104976	104976
300	105249	104549
301	105510	104112
302	105767	103672
303	106022	103232
304	106276	102791
305	106543	102365
306	106812	101941
307	107086	101523
308	107366	101112
309	107637	100693
310	107917	100283
311	108184	99862
312	108452	99443
313	108702	99009
314	108971	98593
315	109227	98166
316	109507	97762
317	109779	97351
318	110054	96944
319	110304	96516
320	110575	96107
321	110839	95693
322	111109	95286
323	111376	94876
324	111656	94478
325	111936	94081
326	112222	93690
327	112508	93299
328	112795	92910
329	113063	92506
330	113332	92103
331	113641	91735
332	113923	91344
333	114208	90956
334	114482	90561
335	114765	90173
336	115045	89783
337	115309	89382
338	115588	88992
339	115867	88604
340	116135	88208
341	116405	87814
342	116676	87422
343	116948	87031
344	117208	86632
345	117499	86256
346	117777	85872
347	118042	85479
348	118302	85082
349	118587	84705
350	118877	84331
351	119157	83951
352	119439	83573
353	119715	83191
354	119994	82813
355	120263	82427
356	120545	82052
357	120821	81672
358	121106	81299
359	121393	80929
360	121654	80541
361	121921	80158
362	122193	79779
363	122460	79397
364	122740	79024
365	123022	78653
366	123295	78277
367	123577	77907
368	123882	77552
369	124178	77191
370	124460	76823
371	124774	76474
372	125086	76124
373	125395	75773
374	125755	75453
375	126067	75104
376	126382	74756
377	126705	74414
378	127015	74064
379	127351	73729
380	127667	73383
381	127987	73040
382	128312	72699
383	128668	72375
384	129020	72050
385	129332	71702
386	129661	71364
387	129970	71015
388	130303	70678
389	130637	70343
390	130959	70001
391	131285	69661
392	131598	69315
393	131908	68967
394	132240	68631
395	132571	68294
396	132882	67947
397	133206	67607
